t,x,y,z,prank,etype,uidx,eidx,rho,u,v,w,p
3.211294650184046e-07,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0922999999999843,46.22694859173093,4.279628626837894e-11,-9.923974094867533e-13,89768.99999999742
8.815134187052249e-07,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0922999999999916,46.22694859173993,4.8692021367474534e-11,-1.1229127153122673e-11,89768.99999999865
1.6470397313149672e-06,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.092299999999997,46.226948591748965,5.8078148810523404e-11,-2.2230404965560686e-11,89768.99999999942
2.6682797459457263e-06,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0923000000000056,46.2269485917583,6.08482655619658e-11,-3.707605514776275e-11,89769.00000000029
4.028759226350435e-06,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0923000000000056,46.22694859176784,6.18874628692079e-11,-5.72195716905229e-11,89769.00000000025
5.838049306817069e-06,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0923000000000056,46.22694859177542,6.07281581995739e-11,-8.288513745511215e-11,89769.00000000028
8.26385917147388e-06,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0923000000000043,46.22694859177776,5.780820956427542e-11,-1.1525032258368236e-10,89768.99999999983
1.1576502829632016e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0922999999989755,46.22694859173364,5.4472604866098825e-11,-3.71758319900819e-10,89768.99999988123
1.6195744560883715e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.092300000889071,46.22694866309797,5.205564735079372e-11,2.0639267885154823e-07,89769.00010230886
2.2206405828828053e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0922998696539847,46.226935533896295,5.311831261309449e-11,-2.410654735031567e-05,89768.98500257314
2.9591492408208787e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0923062442062368,46.226863272903415,5.7551855681550763e-11,0.002009252174299996,89769.71868621258
3.713827020113078e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0919713494456118,46.19353650935649,6.228925006345098e-11,-0.0958763983481076,89731.11833390429
4.438825352554591e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.066341539161317,44.229417522973,6.750466287532515e-11,-7.770166279506108,86798.53885828581
5.14091357537562e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0542821553368875,42.20877100640784,6.77783738298473e-11,-11.213605666584257,85428.3367691425
5.8495894980557785e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0545224895270833,41.15859805593798,7.457442916892991e-11,-10.733178048635743,85455.41461105607
6.564616119085633e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.054771811461305,40.10033627785868,8.597768379154083e-11,-10.352387062424885,85483.32536726719
7.278481925314698e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0548615461664976,39.13289224760716,9.756372993474185e-11,-9.991820527231543,85493.1682387276
8.023591213263728e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0549447015914346,38.12907611202081,1.0917768548195921e-10,-9.623992583902497,85502.34973919753
8.758988929359512e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0551646245863806,37.20329383723891,1.175483714629567e-10,-9.31611715483875,85527.17764723048
9.491783953077113e-05,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0552803422947812,36.375358778280116,1.209018895651458e-10,-9.034222178726054,85540.30356392231
0.00010253853575912864,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.055384371441917,35.58551937106901,1.2195568250155426e-10,-8.761977636745954,85552.2050431137
0.0001098901321703911,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.055499104849331,34.88014174971883,1.20649466945389e-10,-8.570619664163631,85565.37504851473
0.00011737486396117257,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0553988736405713,34.27267941053315,1.0640283390540402e-10,-8.330363881549788,85554.17115992743
0.00012483890748886265,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0554091277974802,33.72025390950392,1.324617826727885e-10,-8.201649879727965,85555.49471471917
0.00013222259127945092,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0554016077843167,33.25448137908113,3.1994876933351656e-11,-8.04354069551077,85554.77329291364
0.00013981461370871377,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0554202265324244,32.84050701928213,1.0476094910127364e-10,-7.914694835346437,85556.99149955557
0.00014683208867447584,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0553951508647574,32.48206252642701,5.915636439698746e-10,-7.79389197276,85554.21769108348
0.00015413724346083596,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0555372858747611,32.15656677494616,-2.4644975760861005e-09,-7.720456373434847,85570.40429229832
0.0001615955432270774,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0557715476527467,31.910548861266147,5.3995851873312315e-09,-7.60083438787906,85597.03511682535
0.00016875646506490352,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.05574943698129,31.661834106648705,-9.252488964418172e-09,-7.545696992030014,85594.55747490222
0.00017615948724854078,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0562200318821053,31.48307182976308,1.3223468545395626e-08,-7.492863681745215,85648.00082680832
0.00018350640884301505,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0565184362515474,31.33617476088069,-2.112629872980098e-08,-7.40894186881887,85681.90090701685
0.0001910239532247137,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0568088000932523,31.21641031245624,3.035175774517675e-08,-7.38865051730925,85714.89529445124
0.00019869700140291046,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0574504871011232,31.14440496223461,-3.812797823047467e-08,-7.322771097357882,85787.80705372173
0.00020628406977807055,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0578664899920542,31.08028217087791,4.389704538544475e-08,-7.334527690977854,85835.12588975043
0.00021393465566221415,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0585670265063625,31.096477756707504,-3.655648878620917e-08,-7.2805666749395685,85914.82376219571
0.00022137894800735802,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.059169939863499,31.09299724376769,2.3872153483992915e-09,-7.276217048303539,85983.49508949784
0.00022853072587011446,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0599128411169307,31.149705202631186,3.769036020947566e-08,-7.293990390276746,86068.13653658067
0.00023542711735983007,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0606084872559103,31.220341259873994,-6.242479047555843e-10,-7.272781321838981,86147.45738034787
0.00024273895178681068,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0614721416279411,31.321776861711797,-2.993634259271806e-08,-7.275806226958217,86245.94125396358
0.00024961731941587287,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0622325971124489,31.416702298340397,-8.321316255159745e-09,-7.310191959735373,86332.68773615656
0.0002569935602441683,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.06313480767777,31.558802070922884,2.2958470362943864e-08,-7.31741048428855,86435.56323862128
0.00026425968113805826,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0641138053173367,31.709836988627103,1.0096134755227099e-08,-7.321960814001552,86547.1294602308
0.00027199394146911935,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0651409711171442,31.881192061916803,-1.642656469957385e-08,-7.361162245149996,86664.10579253023
0.00027956375856226864,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0660697438903544,32.05504230461007,-4.818704804424218e-09,-7.388913283449654,86769.77319128126
0.0002867158628663835,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0670931152739533,32.233966725479895,5.212223487098351e-09,-7.402827270145514,86886.14164639957
0.00029395873341034415,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0681234309963228,32.41543183174807,1.1364692427515444e-08,-7.4254871237507905,87003.23574917304
0.0003013423955632329,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0690536166028348,32.5956979203004,5.7412579800632435e-09,-7.4691958148413535,87108.86813535127
0.0003085896101881299,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.070014309038564,32.77834221106546,-4.116027860272067e-09,-7.477001752327115,87217.99101670616
0.00031617758085753173,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.071015620939582,32.95418547236501,-8.563812920438377e-09,-7.491646124542432,87331.77045800292
0.0003238992328950044,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.071964577027452,33.13472374876131,-1.2622393802363287e-09,-7.526918029506012,87439.64265228313
0.0003316144862391913,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.072832251707821,33.28598053837874,7.263598107094165e-09,-7.533171568011185,87538.32673155346
0.0003390113487321105,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0737023034797624,33.43751666813066,5.54027293068395e-09,-7.5389318249226465,87637.38930685796
0.0003468255857021275,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0744470127173573,33.559453792768394,-3.0317848711181654e-09,-7.550334624577001,87722.1884808865
0.0003542563432278345,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0751645273465447,33.670845665373015,-3.6706033431982662e-09,-7.547440329888402,87803.94920753628
0.0003615265546298622,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0757943649090689,33.758412847792194,-2.2918859671273863e-09,-7.539071525422011,87875.72517978727
0.00036906896205536653,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0763800203190947,33.84093680505511,-8.900695591220484e-10,-7.543490934781032,87942.45834138927
0.0003759399765566403,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0769076351948235,33.90651961359251,-7.996485811913287e-10,-7.533989275440933,88002.58621449766
0.0003834492009039738,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0774747441732722,33.97237384644068,1.2230070472334407e-09,-7.516441018998141,88067.22345133971
0.00039062752507451506,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0779464637956884,34.02601298842325,2.7099340921226586e-09,-7.514818084534139,88120.97321986365
0.00039810446892270783,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0784124099020602,34.075250883619105,1.656533392727424e-09,-7.509107383764153,88174.07592951463
0.000405136784262056,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.078859353765403,34.118477130987245,8.652687467327204e-10,-7.49380256161036,88225.04730538097
0.0004127520247069326,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0793137472487238,34.16126323361394,6.755571133091359e-10,-7.487255563602992,88276.89505073133
0.000420132366488949,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0797161062828708,34.197507221540725,-1.5934383736779658e-10,-7.4772405210064345,88322.83354737703
0.00042731559167649415,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0800985753390442,34.227894283215775,-1.413746324778685e-09,-7.466403634874526,88366.54038812012
0.0004348489377051835,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0804864556412161,34.25895811937176,-1.8046348881767792e-09,-7.458677287576771,88410.90600505107
0.0004420561965799123,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0808450886221366,34.28795918115331,-8.725694301884919e-10,-7.450423789751965,88451.96237997271
0.0004492008607840509,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0811709492046344,34.310680602548935,3.746136470549207e-11,-7.4412021784226345,88489.29482312161
0.0004565571150209539,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0814993109112667,34.332058069146456,3.7390136285460627e-10,-7.430860362106942,88526.93703763919
0.0004637612494534033,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.081831376324206,34.355867310548064,-4.2298670900550477e-10,-7.425784600238465,88565.01743702315
0.0004711351264507572,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0821267092068356,34.37477166799029,-4.1584124383318766e-10,-7.418715713652222,88598.89294163318
0.00047808967117832734,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0823771934346411,34.3879054320199,2.6447103793530766e-10,-7.405592364070488,88627.62337973264
0.00048526156453075083,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0826679377853827,34.406180673489075,7.059831838566633e-10,-7.399395905830999,88660.96352493773
0.0004926161023726352,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0829666120573929,34.42202955269403,4.4832371136438225e-10,-7.403636757319939,88695.20864974789
0.0004997953508133739,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0832332346306002,34.439090952465506,5.018444325990165e-10,-7.398036376910603,88725.78094510971
0.0005069789894503729,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.083440854759931,34.4488251914063,1.1750447823043288e-09,-7.380015170779199,88749.60009643469
0.0005147322175104259,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0836650119150861,34.455117828355355,1.1490855215037036e-09,-7.371486137276642,88775.34628921612
0.0005220705275233204,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0839538809232425,34.474154565160795,2.856065959950178e-10,-7.376857246016109,88808.55571719917
0.0005295484217946706,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0842010787407959,34.48415042190583,-3.8633064294570944e-10,-7.3798981300558335,88837.03962726111
0.0005368977669445833,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0843678365236402,34.48705623209921,-5.602246844088125e-10,-7.367968857250945,88856.34492050411
0.0005438307992716189,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0845505320415065,34.50164980981326,-3.734533527429587e-10,-7.345535002913189,88877.50576876533
0.0005509605995819991,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0847725603951666,34.5167457694984,-4.5755812572748947e-10,-7.339650146973099,88903.20487546129
